"V1","V2","V3","V4","V5"
1,0.977037619777381,0.970841760815752,0.96234309623431,0.954174949471275
1,1,0.92188095687295,0.914762891679843,0.914762891679843
1,0.983402489626556,0.97722776733754,0.970841760815752,0.962655601659751
1,NA,NA,NA,NA
1,0.948667297725035,NA,NA,NA
1,1,0.95238299359167,0.952185009975836,0.952185009975836
1,0.970719794156639,0.970719794156639,0.92277383956224,0.92277383956224
1,1,0.970719794156639,0.952185009975836,0.952185009975836
1,0.923760430703401,0.921558417666449,0.921558417666449,0.913293319750158
1,0.962025316455696,0.955604672630147,0.943159984844388,0.941184778519636
1,0.979846675424837,0.920939860045876,NA,NA
1,0.966253327081021,0.961864406779661,0.955808537091679,0.955604672630147
1,1,0.953348817213397,0.92466084433296,0.92466084433296
1,1,0.971436663396163,0.92466084433296,0.92466084433296
1,0.974789915966387,0.96218487394958,0.960169824881399,0.943159984844388
1,0.952185009975836,0.92277383956224,0.914003513357666,0.914003513357666
1,1,0.963422594244285,0.921558417666449,0.921558417666449
1,0.970719794156639,0.952185009975836,0.91364987690087,NA
1,0.970719794156639,0.92277383956224,0.91293380556955,0.91293380556955
1,0.950421337557158,0.948667297725035,NA,NA
1,0.950421337557158,NA,NA,NA
1,NA,NA,NA,NA
1,1,1,1,0.919565825434434
1,0.985509358586163,0.937759336099585,0.937759336099585,0.909904842894179
1,0.985327112869558,0.96234309623431,0.960169824881399,0.955808537091679
1,0.96234309623431,0.94759118088732,0.941674840962918,0.939459249785944
1,0.976941350206839,0.96218487394958,0.94759118088732,0.94093664602213
1,1,0.968007744092929,0.968007744092929,0.968007744092929
1,1,0.987951807228916,0.968007744092929,0.968007744092929
1,1,0.987654320987654,0.987654320987654,0.973197944944158
1,0.976941350206839,0.94780999867293,0.9392054182246,0.926933126455465
1,1,0.95238299359167,0.952185009975836,0.952185009975836
1,1,0.987654320987654,0.987654320987654,0.985569105261245
1,NA,NA,NA,NA
1,0.98804780876494,0.974053836548075,0.942117645185843,0.925868436052912
1,0.987903225806452,0.959847098038486,0.925868436052912,0.913844170649627
1,0.978270116018329,NA,NA,NA
1,NA,NA,NA,NA
1,1,0.987654320987654,0.987654320987654,0.973197944944158
1,0.978270116018329,NA,NA,NA
1,0.987951807228916,0.987951807228916,0.975903614457831,0.956007648091777
1,0.978813559322034,0.966253327081021,0.966253327081021,0.95745547722781
1,0.975903614457831,0.968007744092929,0.968007744092929,0.963855421686747
1,1,0.962508355143513,0.962508355143513,0.922200854284641
1,1,0.962508355143513,0.962508355143513,0.921558417666449
1,0.978813559322034,0.97873226561065,0.97873226561065,0.945156092865279
1,1,0.97873226561065,0.965966192580946,0.95745547722781
1,0.97917516648799,0.966675057979632,0.958192545975083,0.943651075751431
1,1,0.971436663396163,0.92466084433296,0.92466084433296
1,0.983471074380165,0.97722776733754,0.960664584840293,0.954365062319608
1,1,0.953348817213397,0.92466084433296,0.92466084433296
1,1,0.97873226561065,0.965966192580946,0.95745547722781
1,1,0.966253327081021,0.957814433394724,0.945156092865279
1,1,0.966253327081021,0.957814433394724,0.945156092865279
