label,prediction
0,0.00038946876460507865
1,0.000488871735494661
1,0.00031363693388533436
1,0.0003476878756270799
0,0.0002730582524271845
1,0.0005699242814883166
0,0.00025393600812595224
1,0.0010846477154607492
1,0.0005800632268917312
0,0.0
0,0.00016465241874403136
0,8.152395445528411e-05
1,0.0006008261359369133
1,0.0002184769038701623
0,0.0001630922286553046
0,0.000295217476874631
1,0.0009464181712288876
0,0.0001677008217340265
0,0.00017811025024490158
1,0.0003027448869752422
1,0.0011531069827033953
