label,prediction
1,0.0006020728508149486
1,0.00027653337757867376
0,0.00018716777719547802
0,0.00031963807135305255
0,0.0003115750116840629
0,0.0003743137581101314
0,0.0001775505131209829
0,0.0002730582524271845
0,0.0
0,0.00030267361694972253
0,0.0001824551160414538
0,0.00013172193499522508
1,0.0005832094013355495
0,0.0002487974788522143
1,0.0009876891601114678
1,0.0008012018027040561
0,0.00014767413241447206
1,0.0005660682516577713
1,0.00034332084893882645
0,0.0003448870494912916
0,0.0003274966158683027
0,0.0003399873718976152
0,0.00020386528581913072
0,0.00025155123260103975
1,0.0006041809320497845
1,0.000803320390949257
0,0.0001639433848844199
0,0.00019929582143094398
1,0.0010557946885405669
1,0.000979617633117396
0,0.0002477262271295608
1,0.0012812299807815502
