label,prediction
1,0.0005160624435556702
0,3.997441637352095e-05
0,9.81017314955609e-05
1,0.0004811607076763639
0,0.00014553922282055013
1,0.0006380695495809043
1,0.00031402552171058267
1,0.00016249593760155997
1,0.0005757917136062085
0,0.0004164397603869686
0,0.00035860655737704917
1,0.0005720210217725502
0,0.0001319226405635735
0,0.0
0,0.0001681708615953809
1,0.0008736167734420501
0,0.0001677008217340265
0,0.00010356255178127589
0,0.0002473716759431045
1,0.0001462843768285547
0,8.905512512245079e-05
0,0.0001876392635158907
1,0.0013605442176870747
0,0.00033828354927099895
1,0.0003619418178527802
