label,prediction
1,0.00038595137012736397
1,0.0001881821603312006
1,0.0002283821976076965
0,0.00020733123237684525
0,8.152395445528411e-05
1,0.00028686173264486515
1,0.0006417569880205362
1,0.0005507572912755039
0,0.00027473785429735795
1,0.0005121569895951264
1,0.00018726591760299626
0,0.0002217376843194501
1,0.00034368690123297676
0,0.000295217476874631
1,0.0008736167734420501
1,0.0008848159266866804
1,0.0013605442176870747
0,7.129616426636246e-05
1,0.00026910656620021526
1,0.00031669909062118263
1,0.00039049592983088523
