label,prediction
1,0.0004300520362963919
1,0.000221226702062939
0,0.0001497342217563824
0,0.0002458754395023481
0,0.0003115750116840629
0,0.0003743137581101314
0,0.00010653030787258975
1,0.00045601714624469883
0,0.00018203883495145632
0,0.0
0,0.00020178241129981502
0,0.0001824551160414538
0,0.00013172193499522508
1,0.0005248884612019946
0,0.00020733123237684525
1,0.0008465907086669724
1,0.000701051577366049
0,0.00014767413241447206
0,0.00027473785429735795
1,0.0005121569895951264
0,0.00028740587457607634
0,0.00024016418497008863
0,0.0002914177473408131
0,0.00012577561630051988
1,0.0005236234744431465
1,0.0007140625697326728
0,0.0001639433848844199
0,0.00016607985119245332
1,0.0008933647364574028
1,0.0008848159266866804
0,0.00017694730509254343
1,0.0010249839846252402
